id,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ignore
0,1635724800000,61299.81000000,61399.93000000,61115.33000000,61243.62000000,222.81992000,1635725099999,13648984.30323310,7167,115.97095000,7104265.40421690,0
1,1635725100000,61243.61000000,61400.00000000,61236.10000000,61389.99000000,108.69289000,1635725399999,6667626.62124310,4355,63.90645000,3920247.13962080,0
2,1635725400000,61390.00000000,61570.12000000,61367.42000000,61520.04000000,167.37244000,1635725699999,10287428.32177240,5126,88.99605000,5470514.36462420,0
3,1635725700000,61520.03000000,61657.00000000,61439.02000000,61644.16000000,183.82887000,1635725999999,11315211.13581450,6585,80.98348000,4985407.50210130,0
4,1635726000000,61644.16000000,61660.27000000,61452.37000000,61468.98000000,142.40028000,1635726299999,8761666.20325950,4978,57.37836000,3530186.02785010,0
5,1635726300000,61468.99000000,61595.50000000,61468.98000000,61500.15000000,103.36938000,1635726599999,6361522.69548910,3470,47.66294000,2933398.17058340,0
6,1635726600000,61500.15000000,61589.00000000,61429.10000000,61443.50000000,98.28348000,1635726899999,6044999.25026140,3894,38.67465000,2378728.91245500,0
7,1635726900000,61443.49000000,61538.70000000,61440.25000000,61509.85000000,82.56077000,1635727199999,5075299.89801000,3514,42.65813000,2622169.70649310,0
8,1635727200000,61509.85000000,61509.86000000,61361.00000000,61367.14000000,84.86589000,1635727499999,5212413.37887920,3605,37.02949000,2274088.49497120,0
9,1635727500000,61367.14000000,61450.44000000,61361.00000000,61413.99000000,49.60781000,1635727799999,3045295.46087610,3085,26.40743000,1621136.79448480,0
10,1635727800000,61413.99000000,61502.17000000,61412.11000000,61494.80000000,77.03326000,1635728099999,4735410.72974120,3140,46.60897000,2865154.36692940,0
11,1635728100000,61494.80000000,61565.21000000,61450.02000000,61560.49000000,102.50159000,1635728399999,6304710.53216460,3087,51.93380000,3194493.03657900,0
12,1635728400000,61560.49000000,61650.00000000,61531.39000000,61649.99000000,161.96633000,1635728699999,9977243.14915790,4356,85.15885000,5245256.96658850,0
13,1635728700000,61649.99000000,61716.87000000,61607.14000000,61680.73000000,154.89368000,1635728999999,9551920.41181950,5294,94.53548000,5829955.92383790,0
14,1635729000000,61680.73000000,61728.14000000,61670.90000000,61723.61000000,71.17395000,1635729299999,4391405.74076110,3427,26.53506000,1637251.90524640,0
15,1635729300000,61728.06000000,61735.30000000,61600.00000000,61664.66000000,87.12886000,1635729599999,5373262.59559600,3527,31.81100000,1961652.28060940,0
16,1635729600000,61664.65000000,61682.34000000,61606.27000000,61641.07000000,61.11596000,1635729899999,3767678.05724150,2917,26.03601000,1605038.95340730,0
17,1635729900000,61641.08000000,61671.40000000,61620.00000000,61622.81000000,72.13627000,1635730199999,4446784.30320060,2488,27.69901000,1707431.44550200,0
18,1635730200000,61622.81000000,61661.02000000,61461.85000000,61495.32000000,132.39232000,1635730499999,8149704.87269000,4079,50.09654000,3083811.22715240,0
